feature,bucket,horizon_d,sample_count,is_underpowered,mean_return,median_return,winsorized_mean_return_5pct,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,universe
ma50_reclaim_confirmed,10+,10,3423,false,0.017001850265902427,0.004750593824228044,0.011055161583962846,0.10024478625377577,0.5252702307917032,-0.07733442112289546,0.12381840357225658,0.011151850265902426,-0.03866058767664103,0.05511428964509361,all
ma50_reclaim_confirmed,3-5,10,408,false,0.01985905786319913,0.007549346732236728,0.01432528503568719,0.08902449494961785,0.5637254901960784,-0.05029576026903672,0.11190050632210934,0.014009057863199148,-0.02865794652203313,0.0545723706758589,all
ma50_reclaim_confirmed,6-10,10,693,false,0.01674828991550132,0.0031496062992126816,0.01109760303377042,0.08834240878655493,0.5194805194805194,-0.0608655718065193,0.1074193397768129,0.010898289915501326,-0.03234040424698793,0.051199612161377965,all
ma50_reclaim_confirmed,0,20,6981,false,0.015345253925677205,0.004769475357710773,0.008596628100717981,0.11869610315254865,0.5222747457384329,-0.10204081632653061,0.13465783664459163,0.009495253925677204,-0.053055173572819615,0.06985058841913827,all
ma50_reclaim_confirmed,1-2,20,426,false,0.011884052981593944,0.0017438751701341904,0.005436803628452179,0.1035340541317857,0.5046948356807511,-0.09416461514999674,0.12167400881057278,0.006034052981593946,-0.048814478625281585,0.06971532353739075,all
ma50_reclaim_confirmed,10+,20,3406,false,0.03206331407225799,0.008455264694317677,0.02079056413523303,0.14755673528205618,0.5384615384615384,-0.1083998189328354,0.19434452438049554,0.026213314072257982,-0.05707346742843552,0.09340920027561843,all
ma50_reclaim_confirmed,3-5,20,407,false,0.023572978111221228,0.00867052023121384,0.01677958510523447,0.11604876326713365,0.5503685503685504,-0.09929411764705884,0.14790509843513416,0.01772297811122124,-0.046275045949261996,0.08286014145486442,all
ma50_reclaim_confirmed,6-10,20,693,false,0.01926937403589587,0.0,0.007886262903816523,0.13730177491346368,0.48917748917748916,-0.09948411214953275,0.14390687995838217,0.01341937403589587,-0.05182012757812473,0.08293982963042068,all
ma50_reclaim_confirmed,0,5,1,true,0.15254237288135597,0.15254237288135597,,,1.0,,,0.14669237288135598,0.008474576271186418,0.27966101694915246,top200
ma50_reclaim_confirmed,10+,5,1,true,0.2972027972027973,0.2972027972027973,,,1.0,,,0.2913527972027973,0.09965034965034958,0.2972027972027973,top200
