stock_id,sector,is_etf,entry_date,exit_date,holding_days,entry_price,exit_price,shares,notional_at_entry,exit_proceeds,net_pnl_ntd,gross_return_pct,regime_at_entry,regime_at_exit,exit_reason,score
006208,etf,true,2024-01-19,2024-04-16,88,73.90275979279438,87.06221895589842,2744.7071236276324,202841.4312590245,237902.89327247374,35061.46201344923,17.806451612903217,bull,bull,trailing_stop,0.7
2891,financial,false,2024-04-29,2024-05-29,30,30.98485936906119,32.61326073736221,6811.388928802909,211049.92806693848,221158.6265248316,10108.69845789313,5.25547445255472,bull,bull,trailing_stop,0.7999999999999999
0050,etf,true,2024-05-15,2024-05-30,15,40.38037056966307,40.6832536372423,5323.349620524299,214958.83034864647,215612.85532756668,654.0249789202062,0.7500750075007501,bull,bull,trailing_stop,0.6
2317,electronics,false,2024-05-06,2024-05-31,25,157.58916163141993,161.8229003021148,1353.327424658438,213269.73426473187,218030.29670916413,4760.56244443226,2.686567164179099,bull,bull,trailing_stop,0.6
2303,semi,false,2024-05-21,2024-06-05,15,47.94233180271473,47.586544553714994,4482.249212700727,214889.47897775515,212350.92258405202,-2538.5563937031257,-0.7421150278293154,bull,bull,trailing_stop,0.7
0050,etf,true,2024-06-06,2024-07-17,41,42.20978429784162,47.27200814368613,5055.781251728328,213403.43609252444,237939.37107806522,24535.934985540778,11.993010459670517,bull,bull,trailing_stop,0.7999999999999999
2317,electronics,false,2024-06-13,2024-07-17,34,180.63951661631418,204.57039274924472,1194.6926857961246,215808.70926725806,243317.2874705935,27508.578203335433,13.247863247863268,bull,bull,trailing_stop,0.6
2330,semi,false,2024-06-06,2024-07-18,42,866.1438559979246,977.448761332528,246.38336301150855,213403.43609252444,239761.45301356734,26358.0169210429,12.850625743498911,bull,bull,trailing_stop,0.6
2881,financial,false,2024-06-28,2024-07-22,24,68.13417056903002,72.99953479693151,3299.1214702386196,224782.9049811872,239768.64064438347,14985.735663196276,7.140857791718713,bull,bull,trailing_stop,0.6
2412,telecom,false,2024-09-20,2024-10-04,14,121.31598513011153,119.87174721189591,1910.992029862115,231833.880678514,228060.30128321974,-3773.5793952942477,-1.1904761904761973,bull,bull,trailing_stop,0.6
0056,etf,true,2024-10-17,2024-10-30,13,32.52552207163267,31.928253827924838,7121.333110074295,231625.07725117003,226365.61122139994,-5259.46602977009,-1.836306400839438,bull,bull,trailing_stop,0.6
2330,semi,false,2024-10-18,2024-10-30,12,1059.9731554906316,1006.2417973782032,218.94847446472144,232079.50536823078,219340.21213242912,-12739.293235801655,-5.069124423963145,bull,bull,trailing_stop,0.6
2881,financial,false,2024-09-20,2024-11-14,55,84.26379535889416,83.79978767519981,2751.2869517815234,231833.880678514,229537.04650675104,-2296.834171762952,-0.5506607929515406,bull,bull,trailing_stop,0.6
2317,electronics,false,2024-10-15,2024-11-15,31,199.74561933534744,199.74561933534744,1159.017816278071,231508.7315331652,230484.30539613098,-1024.4261370342283,0.0,bull,bull,trailing_stop,0.6
2891,financial,false,2024-11-20,2024-12-20,30,36.04554161915621,36.47183580387685,6283.298005923067,226484.87977806112,228149.3650755365,1664.4852974753885,1.182654402102501,bull,bull,trailing_stop,0.6
2308,electronics,false,2024-12-11,2025-01-03,23,407.2553058676654,406.7640449438202,558.8765192798769,227605.4278015825,226324.93449069728,-1280.4933108852128,-0.12062726176116367,bull,bull,trailing_stop,0.7
0050,etf,true,2025-01-06,2025-01-10,4,49.23254222692505,48.46537671609243,4669.7306024507225,229902.70907351933,225318.78569175332,-4583.923381766013,-1.5582488251298598,bull,bull,trailing_stop,0.7
2454,semi,false,2024-12-10,2025-01-13,34,1272.1339460699419,1337.2329922653332,178.96724990664615,227670.3138410272,238261.91607849963,10591.602237472427,5.1173106728662265,bull,bull,trailing_stop,0.7
3711,electronics,false,2025-01-07,2025-01-13,6,168.62542955326458,156.58075601374568,1379.3128356100633,232587.21939307835,215018.1623081737,-17569.057084904663,-7.14285714285714,bull,bull,trailing_stop,0.7
