date,cash,positions_value,equity,n_positions,exposure_pct
2024-05-22,199864.4793170076,887275.9062349659,1087140.3855519735,4,81.61557771441538
2024-05-23,199864.4793170076,898648.7833371315,1098513.2626541392,4,81.80591112444912
2024-05-24,199864.4793170076,890130.1378733924,1089994.6171904001,4,81.66371868586069
2024-05-27,199864.4793170076,915675.2862386308,1115539.7655556384,4,82.08360782034003
2024-05-28,199864.4793170076,910907.3858889679,1110771.8652059755,4,82.00670312441288
2024-05-29,421023.1058418392,673061.46133317,1094084.5671750093,3,61.51823008262096
2024-05-30,636635.9611694058,447193.4363506743,1083829.3975200802,2,41.26050071846193
2024-05-31,854666.25787857,219274.97854872973,1073941.2364272997,1,20.417781821861677
2024-06-03,854666.25787857,219274.97854872973,1073941.2364272997,1,20.417781821861677
2024-06-04,854666.25787857,216484.2060944732,1071150.4639730433,1,20.21043853087677
2024-06-05,1067017.180462622,0.0,1067017.180462622,0,0.0
2024-06-06,639602.1084847096,426806.8721850489,1066408.9806697585,2,40.02281300341195
2024-06-07,639602.1084847096,421572.4622424424,1061174.570727152,2,39.726966125240544
2024-06-11,639602.1084847096,423078.5592522905,1062680.6677370002,2,39.81238881038881
2024-06-12,639602.1084847096,433082.5732911378,1072684.6817758474,2,40.37370726448357
2024-06-13,423485.87180674577,655250.1471188386,1078736.0189255844,3,60.74239995911738
2024-06-14,423485.87180674577,663999.3570368916,1087485.2288436373,3,61.058241475421816
2024-06-17,423485.87180674577,666007.7354569444,1089493.6072636903,3,61.13002692412775
2024-06-18,423485.87180674577,673268.7124979249,1096754.5843046708,3,61.387362508702815
2024-06-19,423485.87180674577,693496.6196277436,1116982.4914344894,3,62.08661504954457
2024-06-20,423485.87180674577,711999.7603619256,1135485.6321686713,3,62.704427091875445
2024-06-21,423485.87180674577,701773.0157029777,1125258.8875097234,3,62.36547193651146
2024-06-24,423485.87180674577,682204.9017268602,1105690.773533606,3,61.69942971909275
2024-06-25,423485.87180674577,688900.5601953382,1112386.4320020839,3,61.929967893931284
2024-06-26,423485.87180674577,693147.3112435131,1116633.183050259,3,62.07475487608852
2024-06-27,423485.87180674577,695896.0680573827,1119381.9398641284,3,62.167884193472986
2024-06-28,198382.65118596036,925211.5580803774,1123594.2092663378,4,82.34392367369921
2024-07-01,198382.65118596036,931240.628531304,1129623.2797172642,4,82.43815838890875
2024-07-02,198382.65118596036,922460.8113910053,1120843.4625769656,4,82.30059256179693
2024-07-03,198382.65118596036,934560.438916655,1132943.0901026153,4,82.4896190356753
2024-07-04,198382.65118596036,961184.8444390289,1159567.4956249893,4,82.89166849411943
2024-07-05,198382.65118596036,963728.8172985483,1162111.4684845086,4,82.92912026376712
2024-07-08,198382.65118596036,995281.1688121045,1193663.8199980648,4,83.38035819949022
2024-07-09,198382.65118596036,995081.4796656768,1193464.130851637,4,83.3775774187367
2024-07-10,198382.65118596036,1003618.7355961876,1202001.386782148,4,83.4956387432259
2024-07-11,198382.65118596036,1029055.7547530588,1227438.405939019,4,83.83766955424595
2024-07-12,198382.65118596036,999261.1607418874,1197643.8119278478,4,83.43558834353064
2024-07-15,198382.65118596036,997431.7508766626,1195814.4020626228,4,83.41024737252066
2024-07-16,198382.65118596036,1000674.9760101945,1199057.6271961548,4,83.45511953000515
2024-07-17,679639.3097346191,504765.4330722876,1184404.7428069068,2,42.61764706176792
2024-07-18,919400.7627481865,254829.54801776455,1174230.310765951,1,21.70183699750853
2024-07-19,919400.7627481865,251039.1771662417,1170439.9399144282,1,21.448275012265505
2024-07-22,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-07-23,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-07-26,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-07-29,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-07-30,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-07-31,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-01,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-02,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-05,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-06,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-07,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-08,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-09,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-12,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-13,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-14,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-15,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-16,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-19,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-20,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-21,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-22,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-23,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-26,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-27,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-28,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-29,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-08-30,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-02,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-03,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-04,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-05,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-06,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-09,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-10,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-11,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-12,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-13,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-16,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-18,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-19,1159169.4033925699,0.0,1159169.4033925699,0,0.0
2024-09-20,694840.9154756081,463667.761357028,1158508.6768326361,2,40.02281300341195
2024-09-23,694840.9154756081,467396.2973024904,1162237.2127780984,2,40.21522389437797
2024-09-24,694840.9154756081,469183.56290243485,1164024.478378043,2,40.30701859089745
2024-09-25,694840.9154756081,470970.82850237936,1165811.7439779874,2,40.39853183287816
2024-09-26,694840.9154756081,471124.8332479528,1165965.748723561,2,40.40640419872676
2024-09-27,694840.9154756081,465864.35535968083,1160705.2708352888,2,40.13631772555204
2024-09-30,694840.9154756081,461726.49101151,1156567.406487118,2,39.92214274945961
2024-10-01,694840.9154756081,463412.437699893,1158253.353175501,2,40.00959172096398
2024-10-04,922901.2167588278,230046.61507856948,1152947.8318373973,1,19.95290755800766
2024-10-07,922901.2167588278,232599.85164991877,1155501.0684087465,1,20.129782482177593
2024-10-08,922901.2167588278,233365.82262132355,1156267.0393801513,1,20.182692637024896
2024-10-09,922901.2167588278,231323.2333642441,1154224.450123072,1,20.041442835453598
2024-10-11,922901.2167588278,231578.55702137903,1154479.773780207,1,20.05912639448871
2024-10-14,922901.2167588278,231067.9097071092,1153969.1264659371,1,20.0237514511988
2024-10-15,691062.5852832278,466151.17244016344,1157213.7577233913,2,40.28220104790592
2024-10-16,691062.5852832278,459829.19458751986,1150891.7798707476,2,39.95416446880537
2024-10-17,459107.4422969749,698687.8782237922,1157795.320520767,3,60.34640716197816
2024-10-18,226697.22363359437,933369.5899124098,1160066.8135460042,4,80.45826145645495
2024-10-21,226697.22363359437,930475.4312336772,1157172.6548672717,4,80.40938638844722
2024-10-22,226697.22363359437,941040.7501814025,1167737.973814997,4,80.58663598195962
2024-10-23,226697.22363359437,934416.1623946349,1161113.3860282293,4,80.47587545183268
2024-10-24,226697.22363359437,926125.5328775328,1152822.756511127,4,80.33546593756833
2024-10-25,226697.22363359437,935497.9285102319,1162195.1521438262,4,80.49404842074753
2024-10-28,226697.22363359437,930222.7991828744,1156920.0228164687,4,80.40510846361614
2024-10-29,226697.22363359437,918432.3544803672,1145129.5781139615,4,80.2033561994821
2024-10-30,672403.0469874234,468375.41072326974,1140778.4577106931,2,41.05752589886756
2024-11-01,672403.0469874234,463439.71725238184,1135842.7642398053,2,40.80139715135236
2024-11-04,672403.0469874234,475001.2647533995,1147404.3117408229,2,41.3978978371395
2024-11-05,672403.0469874234,475001.2647533995,1147404.3117408229,2,41.3978978371395
2024-11-06,672403.0469874234,472144.152004564,1144547.1989919874,2,41.25161045524251
2024-11-07,672403.0469874234,478101.1401039916,1150504.187091415,2,41.55579314428026
2024-11-08,672403.0469874234,481006.80537317845,1153409.852360602,2,41.703025545406604
2024-11-11,672403.0469874234,480179.720826044,1152582.7678134674,2,41.661192084016626
